TreeDepth,PID,Process,Base,Size,Name,Path,LoadCount,LoadTime,File output
0,1028,svchost.exe,0x7ffa172a0000,0x30000,timebrokerserver.dll,c:\\windows\\system32\\timebrokerserver.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1028,svchost.exe,0x7ffa1ba20000,0x4b000,powrprof.dll,C:\\Windows\\SYSTEM32\\powrprof.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1028,svchost.exe,0x7ffa19290000,0x4a000,BrokerLib.dll,c:\\windows\\system32\\BrokerLib.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1028,svchost.exe,0x7ffa1ba00000,0x12000,UMPDC.dll,C:\\Windows\\SYSTEM32\\UMPDC.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1028,svchost.exe,0x7ffa1b510000,0x2b000,WLDP.DLL,C:\\Windows\\SYSTEM32\\WLDP.DLL,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1028,svchost.exe,0x7ffa1ca60000,0xb1000,advapi32.dll,C:\\Windows\\System32\\advapi32.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1028,svchost.exe,0x7ffa1c760000,0xcd000,OLEAUT32.dll,C:\\Windows\\System32\\OLEAUT32.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1028,svchost.exe,0x7ffa171b0000,0xc000,bi.dll,C:\\Windows\\SYSTEM32\\bi.dll,6,2026-02-17 16:28:56.000000 UTC,Disabled
0,1028,svchost.exe,0x7ffa1c6b0000,0xa9000,clbcatq.dll,C:\\Windows\\System32\\clbcatq.dll,6,2026-02-17 16:29:05.000000 UTC,Disabled
0,1028,svchost.exe,0x7ffa16490000,0x203000,twinapi.appcore.dll,C:\\Windows\\System32\\twinapi.appcore.dll,6,2026-02-17 16:29:05.000000 UTC,Disabled
0,1028,svchost.exe,0x7ffa17280000,0x16000,usermgrcli.dll,C:\\Windows\\SYSTEM32\\usermgrcli.dll,6,2026-02-17 16:29:05.000000 UTC,Disabled
0,1028,svchost.exe,0x7ffa1c930000,0x12b000,ole32.dll,C:\\Windows\\System32\\ole32.dll,6,2026-02-17 16:29:05.000000 UTC,Disabled
0,1028,svchost.exe,0x7ffa1c610000,0x79000,coml2.dll,C:\\Windows\\System32\\coml2.dll,6,2026-02-17 16:29:05.000000 UTC,Disabled
0,1028,svchost.exe,0x7ffa0cf60000,0x7f000,OneCoreCommonProxyStub.dll,C:\\Windows\\System32\\OneCoreCommonProxyStub.dll,6,2026-02-17 16:29:05.000000 UTC,Disabled
0,1028,svchost.exe,0x7ffa054c0000,0x18000,execmodelproxy.dll,C:\\Windows\\system32\\execmodelproxy.dll,6,2026-02-17 16:29:05.000000 UTC,Disabled
0,1028,svchost.exe,0x7ffa15490000,0x7d4000,OneCoreUAPCommonProxyStub.dll,C:\\Windows\\System32\\OneCoreUAPCommonProxyStub.dll,6,2026-02-17 16:29:14.000000 UTC,Disabled
0,1080,svchost.exe,0x7ff7e16f0000,0x11000,svchost.exe,C:\\Windows\\system32\\svchost.exe,-1,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1e530000,0x1f8000,ntdll.dll,C:\\Windows\\SYSTEM32\\ntdll.dll,-1,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1e190000,0xc2000,KERNEL32.DLL,C:\\Windows\\System32\\KERNEL32.DLL,-1,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1bbc0000,0x2f6000,KERNELBASE.dll,C:\\Windows\\System32\\KERNELBASE.dll,-1,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1cd80000,0x9f000,sechost.dll,C:\\Windows\\System32\\sechost.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1d130000,0x120000,RPCRT4.dll,C:\\Windows\\System32\\RPCRT4.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1c0f0000,0x27000,bcrypt.dll,C:\\Windows\\System32\\bcrypt.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1bf40000,0x100000,ucrtbase.dll,C:\\Windows\\System32\\ucrtbase.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1de30000,0x354000,combase.dll,C:\\Windows\\System32\\combase.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa19a30000,0x12000,kernel.appcore.dll,C:\\Windows\\SYSTEM32\\kernel.appcore.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1cb20000,0x9e000,msvcrt.dll,C:\\Windows\\System32\\msvcrt.dll,6,2026-02-17 15:28:52.000000 UTC,Disabled
0,1080,svchost.exe,0x7ffa1c350000,0x82000,bcryptPrimitives.dll,C:\\Windows\\System32\\bcryptPrimitives.dll,-1,2026-02-17 15:28:52.000000 UTC,Disabled
