TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
4,3136,4156,CalculatorApp.,0xdb84c808d080,14,-,1,False,2026-02-18 00:31:14.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\WindowsApps\\Microsoft.WindowsCalculator_11.2508.4.0_x64__8wekyb3d8bbwe\\CalculatorApp.exe,-,-
2,2204,660,svchost.exe,0xdb84c63e4300,3,-,0,False,2026-02-17 16:28:55.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k NetworkService -p -s LanmanWorkstation,C:\\Windows\\System32\\svchost.exe
2,2724,660,svchost.exe,0xdb84c655d2c0,1,-,0,False,2026-02-17 16:28:56.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s SstpSvc,C:\\Windows\\system32\\svchost.exe
2,4772,660,svchost.exe,0xdb84c6d60080,7,-,0,False,2026-02-17 16:29:06.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s CDPSvc,C:\\Windows\\system32\\svchost.exe
2,1704,660,svchost.exe,0xdb84c2f11080,2,-,0,False,2026-02-17 16:28:54.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s SENS,C:\\Windows\\system32\\svchost.exe
2,2740,660,svchost.exe,0xdb84c6e0b2c0,6,-,0,False,2026-02-17 16:29:04.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalService -p -s LicenseManager,C:\\Windows\\System32\\svchost.exe
2,1216,660,svchost.exe,0xdb84c1bb82c0,2,-,0,False,2026-02-17 15:28:52.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork -p,C:\\Windows\\system32\\svchost.exe
2,1728,660,svchost.exe,0xdb84c2f9d300,5,-,0,False,2026-02-17 16:28:54.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k NetworkService -p -s NlaSvc,C:\\Windows\\System32\\svchost.exe
2,2756,660,svchost.exe,0xdb84c6564240,5,-,0,False,2026-02-17 16:28:57.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k netsvcs -p -s Browser,C:\\Windows\\System32\\svchost.exe
2,2768,660,svchost.exe,0xdb84c6566280,3,-,0,False,2026-02-17 16:28:57.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks,C:\\Windows\\System32\\svchost.exe
