TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output,CreateTime_dt,ExitTime_dt
0,2428,660,svchost.exe,0xdb84c6436300,3,-,0.0,False,2026-02-17 16:28:56 UTC,,Disabled,2026-02-17 16:28:56+00:00,
0,2400,660,svchost.exe,0xdb84c64020c0,5,-,0.0,False,2026-02-17 16:28:56 UTC,,Disabled,2026-02-17 16:28:56+00:00,
0,2268,660,svchost.exe,0xdb84c6395300,6,-,0.0,False,2026-02-17 16:28:56 UTC,,Disabled,2026-02-17 16:28:56+00:00,
0,2508,660,svchost.exe,0xdb84c6437340,10,-,0.0,False,2026-02-17 16:28:56 UTC,,Disabled,2026-02-17 16:28:56+00:00,
0,2928,660,svchost.exe,0xdb84c6646080,2,-,0.0,False,2026-02-17 16:28:57 UTC,,Disabled,2026-02-17 16:28:57+00:00,
0,3316,660,svchost.exe,0xdb84c6789300,2,-,0.0,False,2026-02-17 16:28:57 UTC,,Disabled,2026-02-17 16:28:57+00:00,
0,2304,660,svchost.exe,0xdb84c6677080,3,-,0.0,False,2026-02-17 16:28:57 UTC,,Disabled,2026-02-17 16:28:57+00:00,
0,2916,660,svchost.exe,0xdb84c66450c0,5,-,0.0,False,2026-02-17 16:28:57 UTC,,Disabled,2026-02-17 16:28:57+00:00,
0,3144,660,svchost.exe,0xdb84c66f5240,11,-,0.0,False,2026-02-17 16:28:57 UTC,,Disabled,2026-02-17 16:28:57+00:00,
0,2796,660,MsMpEng.exe,0xdb84c65a1340,9,-,0.0,False,2026-02-17 16:28:57 UTC,,Disabled,2026-02-17 16:28:57+00:00,
0,2768,660,svchost.exe,0xdb84c6566280,3,-,0.0,False,2026-02-17 16:28:57 UTC,,Disabled,2026-02-17 16:28:57+00:00,
0,2756,660,svchost.exe,0xdb84c6564240,5,-,0.0,False,2026-02-17 16:28:57 UTC,,Disabled,2026-02-17 16:28:57+00:00,
0,2812,660,svchost.exe,0xdb84c65a2080,4,-,0.0,False,2026-02-17 16:28:57 UTC,,Disabled,2026-02-17 16:28:57+00:00,
0,3736,780,dllhost.exe,0xdb84c68d0300,5,-,0.0,False,2026-02-17 16:28:59 UTC,,Disabled,2026-02-17 16:28:59+00:00,
0,772,2508,AggregatorHost,0xdb84c68ce080,5,-,0.0,False,2026-02-17 16:29:01 UTC,,Disabled,2026-02-17 16:29:01+00:00,
0,4464,660,svchost.exe,0xdb84c6f3a280,3,-,0.0,False,2026-02-17 16:29:04 UTC,,Disabled,2026-02-17 16:29:04+00:00,
0,4328,660,svchost.exe,0xdb84c6ecf080,4,-,0.0,False,2026-02-17 16:29:04 UTC,,Disabled,2026-02-17 16:29:04+00:00,
0,4320,1080,MicrosoftEdgeU,0xdb84c6ece080,4,-,0.0,True,2026-02-17 16:29:04 UTC,,Disabled,2026-02-17 16:29:04+00:00,
0,4348,1080,taskhostw.exe,0xdb84c6ed3080,8,-,1.0,False,2026-02-17 16:29:04 UTC,,Disabled,2026-02-17 16:29:04+00:00,
0,4192,660,svchost.exe,0xdb84c6e55080,9,-,1.0,False,2026-02-17 16:29:04 UTC,,Disabled,2026-02-17 16:29:04+00:00,
